Model,Energy_MAE,Cost_MAE,Emission_MAE,Comfort_MAE,Average_MAE,Energy_MSE,Cost_MSE,Emission_MSE,Comfort_MSE,Average_MSE,Energy_RMSE,Cost_RMSE,Emission_RMSE,Comfort_RMSE,Average_RMSE,Energy_MAE_Norm,Cost_MAE_Norm,Emission_MAE_Norm,Comfort_MAE_Norm,Average_MAE_Norm,Energy_MSE_Norm,Cost_MSE_Norm,Emission_MSE_Norm,Comfort_MSE_Norm,Average_MSE_Norm,Energy_RMSE_Norm,Cost_RMSE_Norm,Emission_RMSE_Norm,Comfort_RMSE_Norm,Average_RMSE_Norm
shared_weighted_sum,1.1970955,140.97377,16.88435,6.4403567,41.373894,2.3302948,25406.295,464.8055,61.298386,6483.682,1.5265304,159.39352,21.55935,7.8293285,47.577183,0.38392156,0.14883555,0.41293734,0.053565625,0.22666425,0.30140483,0.11832011,0.3011078,0.0071824277,0.08399879,0.4241577,0.1489829,0.40788442,0.049905106,0.2120103
separate_weighted_sum,0.73259187,133.84416,10.559045,67.39027,53.131516,0.7365074,21187.25,171.45894,6209.02,6892.116,0.8582001,145.55841,13.094233,78.79733,59.577045,0.033358775,0.0,0.0,1.0,1.0,0.011080145,0.0,0.0,1.0,0.13152575,0.021795046,0.0,0.0,1.0,0.69784653
Ref_Based_Isa_weighted_sum,1.5363332,142.25996,19.222797,7.93552,42.73865,3.9492352,29628.621,581.041,84.69092,7574.5757,1.9872683,172.12967,24.104792,9.202766,51.856125,0.6399456,0.17568575,0.56559914,0.07678262,0.31642863,0.5963114,0.23673223,0.42041862,0.010960172,0.21093936,0.70154107,0.2861316,0.5305344,0.068292215,0.38525105
Data_Based_Isa_weighted_sum,1.1874001,138.50404,18.206245,5.8329587,40.93266,2.4915056,24133.139,524.1361,51.945465,6177.928,1.5784504,155.34845,22.894018,7.20732,46.757057,0.3766044,0.09727828,0.49923518,0.04413391,0.19764285,0.33077103,0.082615346,0.36200815,0.005671991,0.048420087,0.45541573,0.10542367,0.4721943,0.041577876,0.178806
More_Shared_Layer_weighted_sum,2.0134134,153.60083,25.876877,8.979756,47.617718,6.1653533,36512.92,1145.6833,121.12055,9446.473,2.483013,191.08354,33.847946,11.005478,59.604996,1.0,0.41243425,1.0,0.092997596,0.6373402,1.0,0.42979753,1.0,0.016843323,0.4287605,1.0,0.49023566,1.0,0.092426285,0.6989781
Few_Shared_Layers_weighted_sum,2.0032375,150.36919,18.362326,5.5079885,44.060684,5.1632013,38816.367,561.9399,46.805607,9857.569,2.2722678,197.01869,23.70527,6.841462,57.459423,0.9923202,0.34497145,0.5094246,0.039087746,0.4033829,0.8174478,0.49439603,0.40081212,0.0048419368,0.47659728,0.8731227,0.5541481,0.5112838,0.036679894,0.61211073
Deep_Balanced_Layer_weighted_sum,0.8820862,136.73495,14.695926,5.562651,39.468903,1.1835985,24882.262,376.44974,42.947266,6325.7104,1.0879332,157.74112,19.402313,6.5534163,46.196198,0.14618276,0.060347322,0.2700696,0.039936554,0.10136698,0.09252237,0.10362397,0.21041435,0.0042188396,0.0656166,0.16010393,0.13118903,0.3039495,0.032823637,0.15609859
shared_uncertainty,1.2218729,138.81152,14.42229,7.264679,40.43009,2.193592,27308.662,375.0502,62.00221,6936.977,1.481078,165.25333,19.366213,7.874148,48.49369,0.40262118,0.10369714,0.25220573,0.066365756,0.16458742,0.27650303,0.17167063,0.20897779,0.00729609,0.13674593,0.39679348,0.21208395,0.30221003,0.05050513,0.24911676
separate_uncertainty,0.68839073,137.20485,10.826985,2.9907565,37.927742,0.67568105,22853.838,175.93713,16.823381,5761.819,0.8219982,151.17487,13.26413,4.1016316,42.340656,0.0,0.07015669,0.017492065,0.0,0.0,0.0,0.046738267,0.004596677,0.0,0.0,0.0,0.060480583,0.008186346,0.0,0.0
Ref_Based_Isa_uncertainty,1.2065778,139.29395,19.95301,5.385293,41.459705,2.3165271,26666.482,595.0808,43.19841,6826.7695,1.5220141,163.29875,24.394278,6.57255,48.9469,0.39107788,0.11376803,0.6132699,0.037182525,0.23230834,0.2988969,0.15366116,0.4348299,0.0042593977,0.12392176,0.42143872,0.1910362,0.54448307,0.03307979,0.26746574
Data_Based_Isa_uncertainty,1.2054322,137.0828,17.657272,5.8917212,40.459305,2.420909,23254.578,502.16467,52.339592,5952.876,1.555927,152.49452,22.40903,7.2346106,45.92352,0.39021328,0.067608714,0.46339634,0.045046378,0.16650885,0.31791112,0.05797674,0.3394554,0.00573564,0.022232143,0.4418557,0.07469125,0.44882563,0.04194323,0.1450587
More_Shared_Layer_uncertainty,1.5952872,139.68175,21.490465,7.2237005,42.4978,4.083571,24365.285,835.02795,73.24887,6319.411,2.0207849,156.09384,28.89685,8.558556,48.89251,0.68443847,0.12186368,0.71364015,0.06572944,0.30058703,0.620782,0.08912573,0.6811254,0.009112354,0.06488358,0.7217195,0.11345039,0.7614357,0.059667744,0.26526368
Few_Shared_Layers_uncertainty,0.7684771,181.74675,18.022491,4.353009,51.222683,1.1708727,56845.137,548.4827,27.41851,14355.553,1.0820687,238.42218,23.419708,5.2362685,67.040054,0.060441494,1.0,0.4872391,0.021153152,0.8744501,0.090204224,1.0,0.38699892,0.0017110453,1.0,0.15657327,1.0,0.49752423,0.015190123,1.0
Deep_Balanced_Layer_uncertainty,1.3964831,137.27754,15.160006,7.102119,40.234035,2.8567924,24959.102,392.65375,73.39802,6357.003,1.6902049,157.9845,19.815493,8.567265,47.014362,0.53440017,0.07167421,0.3003663,0.063841514,0.15169218,0.39731178,0.10577889,0.22704707,0.00913644,0.06925791,0.52269655,0.13380985,0.3238582,0.059784334,0.18922348
